Attraction,Region,County,District,CRU,Postcode,Category,Visitors_2018,Visitors_2019,Visitors_2020,Visitors_2021,Visitors_2022,Visitors_2023,Estimate?,Visitor admission brackets,% change in admissions 2022 to 2023,% change in admissions 2019 to 2023,Charging,Charge band
Smithills Hall,North West,Greater Manchester,Bolton,Urban,BL1 1SE,Historic House/ House and Garden / Palace,26696,24164,5310,12894,21880,25063,Exact,"20,001-50,000",15%,4%,No,Not Applicable
Canterbury Roman Museum,South East,Kent,Canterbury,Urban,,Museum and/or Art Gallery,21420,24033,6892,12292,24504,28215,Exact,"20,001-50,000",15%,17%,Yes,£10.00-£14.99
Searles Sea Tours,East of England,Norfolk,King's Lynn and West Norfolk,Coastal,PE36 5BB,Other Historic / Scenic Transport Operator,24730,24000,1400,18500,29500,28500,An Estimate,"20,001-50,000",-3%,19%,Yes,£15 or Over
Restormel Castle,South West,Cornwall,Lostwithiel,Rural,,Castle / Fort,21713,23702,7552,13673,17684,17202,Exact,"10,001 to 20,000",-3%,-27%,Yes,£7.50-£9.99
St Augustine's Abbey,South East,Kent,Canterbury,Urban,,Historic Monument / Archaeological Site,17513,23432,8391,11972,19715,25461,Exact,"20,001-50,000",29%,9%,Yes,£7.50-£9.99
Cotebrook Shire Horse Centre,North West,Cheshire,Cheshire West And Chester,Rural,CW6 9DS,Farm / Rare Breeds / Farm Animals,21952,23063,Not available,24602,22548,24719,Exact,"20,001-50,000",10%,7%,Yes,£10.00-£14.99
Dapdune Wharf,South East,Surrey,Guildford,Urban,GU1 4RR,Heritage / Visitor Centre,20644,23005,Not available,13532,18231,24823,An Estimate,"20,001-50,000",36%,8%,No,Not Applicable
Corbridge Roman Town (Hadrian's Wall),North East,Northumberland,Corbridge ,Rural,,Historic Monument / Archaeological Site,23072,22748,12862,18967,26726,24519,Exact,"20,001-50,000",-8%,8%,Yes,£10.00-£14.99
Wroxeter Roman City,West Midlands,Shropshire,Wroxeter,Rural,,Historic Monument / Archaeological Site,22383,22635,9963,15512,21836,24964,Exact,"20,001-50,000",14%,10%,Yes,£7.50-£9.99
Middleham Castle,Y&H,North Yorkshire,Richmondshire,Rural,,Castle / Fort,21153,22485,12177,19907,20946,20896,Exact,"20,001-50,000",0%,-7%,Yes,£7.50-£9.99
Clandon Park,South East,Surrey,Guildford,Rural,,Historic House/ House and Garden / Palace,18427,22483,2494,440,1331,298,Exact,"10,000 or less",-78%,-99%,Yes,Not available
Pevensey Castle,South East,East Sussex,Pevensey,Coastal,,Castle / Fort,21274,22412,11775,20276,21396,22618,Exact,"20,001-50,000",6%,1%,Yes,£7.50-£9.99
Sunnycroft,West Midlands,Shropshire,Telford,Urban,,Historic House/ House and Garden / Palace,23698,22125,1792,2523,3285,3562,Exact,"10,000 or less",8%,-84%,Yes,Not available
Lancaster Priory & Parish Church,North West,Lancashire,Lancaster,Urban,LA1 1YZ,Place of Worship (still in use),20000,22000,Not available,20000,25000,25000,An Estimate,"20,001-50,000",0%,14%,No,Not Applicable
The Plantation Garden,East of England,Norfolk,South Norfolk,Urban,NR2 3DB,Garden,17000,22000,26000,33000,30000,28000,An Estimate,"20,001-50,000",-7%,27%,Yes,Under £3.00
Tudor House & Garden Museum,South East,Hampshire,Southampton,Urban,SO14 2AD,Museum and/or Art Gallery,22959,21985,2588,5922,23984,25889,Exact,"20,001-50,000",8%,18%,Yes,£5.00-£7.49
Westbury Court Garden,South West,Gloucestershire,Westbury-On-Severn,Rural,,Garden,19103,21846,14431,19971,20379,19638,Exact,"10,001 to 20,000",-4%,-10%,Yes,Not available
Merchant Adventurers' Hall,Y&H,North Yorkshire,York,Urban,YO1 9XD,Other Historic Property,15517,21830,8509,10166,16638,23903,Exact,"20,001-50,000",44%,9%,Yes,£5.00-£7.49
The Muckleburgh Collection,East of England,Norfolk,North Norfolk,Coastal,NR25 7EG,Museum and/or Art Gallery,23150,21718,14988,22768,22516,23803,Exact,"20,001-50,000",6%,10%,Yes,£10.00-£14.99
Great Chalfield Manor,South West,Wiltshire,Chippenham,Rural,,Historic House/ House and Garden / Palace,20258,21611,10888,17770,15818,16372,Exact,"10,001 to 20,000",4%,-24%,Yes,Not available
Gloucester Waterways Museum,South West,Gloucestershire,Gloucester,Urban,GL1 2EH,Museum and/or Art Gallery,11059,21459,3160,Not available,19499,18056,An Estimate,"10,001 to 20,000",-7%,-16%,Yes,£7.50-£9.99
Finch Foundry,South West,Devon,West Devon,Rural,EX20 2NW,Museum and/or Art Gallery,19827,21403,820,2430,5663,7914,Exact,"10,000 or less",40%,-63%,Yes,£7.50-£9.99
Portland Castle,South West,Dorset,Isle Of Portland,Coastal,,Castle / Fort,22031,21314,7368,20523,24736,29599,Exact,"20,001-50,000",20%,39%,Yes,£7.50-£9.99
Jewel Tower,London,Greater London,Westminster,Urban,,Historic Monument / Archaeological Site,21617,21264,2261,4209,10609,14834,Exact,"10,001 to 20,000",40%,-30%,Yes,£7.50-£9.99
Thwaite Watermill,Y&H,West Yorkshire,Leeds,Urban,LS10 1RP,Museum and/or Art Gallery,22811,21212,4772,8419.69697,11114,13164,Exact,"10,001 to 20,000",18%,-38%,Yes,£5.00-£7.49
Monk's House,South East,East Sussex,Lewes,Rural,,Historic House/ House and Garden / Palace,22638,21178,1074,3593,6679,10826,Exact,"10,001 to 20,000",62%,-49%,Yes,Not available
Old Coastguard Station,Y&H,North Yorkshire,York,Coastal,,Museum and/or Art Gallery,Not available,21087,2948,Not available,6,4325,Exact,"10,000 or less",Not available,-79%,Yes,Not available
Lincolnshire Wolds Railway,East Midlands,Lincolnshire,East Lindsey,Rural,DN36 5SQ,Steam  / Heritage Railway,18000,21000,2600,4659,8301,12543,An Estimate,"10,001 to 20,000",51%,-40%,Yes,£7.50-£9.99
Benthall Hall,West Midlands,Shropshire,,Rural,TF12 5RX,Historic House/ House and Garden / Palace,18181,20640,1187,13854,15073,19099,Exact,"10,001 to 20,000",27%,-7%,Yes,£7.50-£9.99
Tudor House Museum Worcester,West Midlands,Worcestershire,,Urban,WR1 2NA,Museum and/or Art Gallery,18347,20514,Not available,12249,19029,20471,Exact,"20,001-50,000",8%,0%,No,Not Applicable
Ashridge Estate,East of England,Hertfordshire,Nr Berkhamsted,Rural,,Country Park,18176,20443,338,2824,20695,14777,Exact,"10,001 to 20,000",-29%,-28%,Yes,Not available
Totnes Castle,South West,Devon,Totnes,Rural,,Castle / Fort,17426,20436,4468,16508,20355,18904,Exact,"10,001 to 20,000",-7%,-7%,Yes,£7.50-£9.99
Hat Works - Museum of Hatting,North West,Greater Manchester,Stockport,Urban,SK3 0EU,Museum and/or Art Gallery,19446,20352,2225,Not available,355,2265,Exact,"10,000 or less",538%,-89%,Yes,£5.00-£7.49
Compton Castle,South West,Devon,Compton,Rural,,Castle / Fort,20428,20022,Closed,414,11817,13462,Exact,"10,001 to 20,000",14%,-33%,Yes,Not available
Helmsley Walled Garden,Y&H,North Yorkshire,Ryedale,Rural,YO62 5AH,Garden,20709,20000,11000,20000,17692,23000,An Estimate,"20,001-50,000",30%,15%,Yes,£7.50-£9.99
Lullingstone Castle & The World Garden,South East,Kent,Sevenoaks,Rural,DA4 0JA,Historic House/ House and Garden / Palace,15000,20000,6429,11749,17148,15318,Exact,"10,001 to 20,000",-11%,-23%,Yes,£7.50-£9.99
Barnsdale Gardens,East Midlands,Rutland,,Rural,LE15 8AH,Garden,25527,19668,15339,30547,28562,26104,Exact,"20,001-50,000",-9%,33%,Yes,£10.00-£14.99
Cotswold Falconry,South West,Gloucestershire,Cotswold,Rural,GL56 9AT,Safari Park / Zoo / Aquarium / Aviary,20011,19599,9402,12947,16427,19672,Exact,"10,001 to 20,000",20%,0%,Yes,£10.00-£14.99
Museum of Transport Greater Manchester,North West,Greater Manchester,Manchester,Urban,M8 8UW,Museum and/or Art Gallery,18949,19552,4381,9035,19359,21072,Exact,"20,001-50,000",9%,8%,Yes,£5.00-£7.49
Hove Museum & Art Gallery,South East,East Sussex,Brighton,Urban,,Museum and/or Art Gallery,28439,19340,3897,3552,12176,27285,Exact,"20,001-50,000",124%,41%,No,Not Applicable
Rutland County Museum,East Midlands,Rutland,,Urban,LE15 6HW,Museum and/or Art Gallery,20370,18804,4561,5295,11685,11319,An Estimate,"10,001 to 20,000",-3%,-40%,No,Not Applicable
South Yorkshire Aircraft Museum,Y&H,South Yorkshire,Doncaster,Urban,DN4 7FB,Museum and/or Art Gallery,17209,18735,10064,13493,22444,22403,Exact,"20,001-50,000",0%,20%,Yes,£7.50-£9.99
Berry Pomeroy Castle,South West,Devon,Totnes,Rural,,Castle / Fort,18833,18457,7748,15775,18303,17756,Exact,"10,001 to 20,000",-3%,-4%,Yes,£7.50-£9.99
Farleigh Hungerford Castle,South West,Somerset,Farleigh Hungerford,Rural,,Castle / Fort,17400,18081,5746,15513,17728,17354,Exact,"10,001 to 20,000",-2%,-4%,Yes,£7.50-£9.99
Leighton Buzzard Railway,East of England,Bedfordshire,Central Bedfordshire,Urban,LU7 4TN,Steam  / Heritage Railway,17426,18000,8000,11630,18601,18885,Exact,"10,001 to 20,000",2%,5%,Yes,£10.00-£14.99
West Bay Discovery Centre,South West,Dorset,West Dorset,Coastal,DT6 4EN,Heritage / Visitor Centre,11000,18000,2659,9670,24735,24586,Exact,"20,001-50,000",-1%,37%,No,Not Applicable
Smallhythe Place,South East,Kent,Tenterden,Rural,,Historic House/ House and Garden / Palace,17733,17907,556,7729,Not available,15291,Exact,"10,001 to 20,000",Not available,-15%,Yes,Not available
West Wycombe Park,South East,Buckinghamshire,Hughenden,Rural,,Historic House/ House and Garden / Palace,22137,17832,Closed,11153,13349,10345,Exact,"10,001 to 20,000",-23%,-42%,Yes,Not available
Halifax Minster,Y&H,West Yorkshire,Calderdale,Urban,HX1 1QL,Place of Worship (still in use),10400,17727,Not available,10581,23949,50710,Exact,"50,001-100,000",112%,186%,No,Not Applicable
Kiplin Hall and Gardens,Y&H,North Yorkshire,Hambleton,Rural,DL10 6AT,Historic House/ House and Garden / Palace,17187,17645,16125,30912,34483,33352,Exact,"20,001-50,000",-3%,89%,Yes,£10.00-£14.99
Lodge Park & Sherborne Estate,South West,Gloucestershire,Cheltenham,Rural,,Other Historic Property,13450,17622,768,580,646,1402,Exact,"10,000 or less",117%,-92%,Yes,Not available
Sutton House,London,Greater London,London,Urban,,Historic House/ House and Garden / Palace,22319,17453,4089,1200,4328,3372,Exact,"10,000 or less",-22%,-81%,Yes,Not available
Dales Countryside Museum,Y&H,North Yorkshire,Richmondshire,Rural,DL8 3NT,Museum and/or Art Gallery,14862,17443,3400,12850,14015,16476,Exact,"10,001 to 20,000",18%,-6%,Yes,£3.00- £4.99
Stainsby Mill,East Midlands,Derbyshire,Bolsover,Rural,S44 5QJ,Other Historic Property,14076,17303,1118,1111,2797,1380,Exact,"10,000 or less",-51%,-92%,Yes,£5.00-£7.49
Old Christ Church Waterloo,North West,Merseyside,Sefton,Rural,L22 1RE,Other Historic Property,22387,17276,2572,9353,17974,19400,,"10,001 to 20,000",8%,12%,No,Not Applicable
Quebec House,South East,Kent,Westerham,Rural,,Historic House/ House and Garden / Palace,14922,17198,814,2446,5963,8752,Exact,"10,000 or less",47%,-49%,Yes,Not available
Museum of the Home,London,Greater London,London,Rural,,Museum,52538,17092,654,48174,145301,172407,,"100,001-200,000",19%,909%,No,Not Applicable
Townend,North West,Cumbria,Windermere,Rural,,Historic House/ House and Garden / Palace,16084,16816,148,7335,9606,9954,Exact,"10,000 or less",4%,-41%,Yes,Not available
The Monkey Sanctuary,South West,Cornwall,,Coastal,PL13 1NZ,Safari Park / Zoo / Aquarium / Aviary,20274,16600,Not available,11815,11600,12800,An Estimate,"10,001 to 20,000",10%,-23%,Yes,£7.50-£9.99
Melton Carnegie Museum,East Midlands,Leicestershire,,Rural,LE13 1RB,Museum and/or Art Gallery,17669,16443,3762,5365,13525,14572,Exact,"10,001 to 20,000",8%,-11%,No,Not Applicable
Tilbury Fort,East of England,Essex,Tilbury,Coastal,,Castle / Fort,17822,16129,8307,12247,13171,12901,Exact,"10,001 to 20,000",-2%,-20%,Yes,£7.50-£9.99
Castle Acre Priory,East of England,Norfolk ,King'S Lynn,Rural,,Historic Monument / Archaeological Site,15954,16009,10118,16500,16989,16196,Exact,"10,001 to 20,000",-5%,1%,Yes,£7.50-£9.99
Launceston Castle,South West,Cornwall,Launceston,Rural,,Castle / Fort,15473,16000,3059,9084,12463,14283,Exact,"10,001 to 20,000",15%,-11%,Yes,£7.50-£9.99
The Munnings Art Museum,East of England,Essex,Colchester,Rural,CO7 6AZ,Museum and/or Art Gallery,7400,15900,1000,1900,3600,4500,Exact,"10,000 or less",25%,-72%,Yes,£10.00-£14.99
Brougham Castle,North West,Cumbria,Eden,Rural,,Castle / Fort,15085,15764,9443,14236,15483,15083,Exact,"10,001 to 20,000",-3%,-4%,Yes,£7.50-£9.99
Bembridge Windmill,South East,Isle of Wight,Isle of Wight,Rural,PO35 5SQ,Other Historic Property,19556,15415,Not available,5103,9447,11394,Exact,"10,001 to 20,000",21%,-26%,Yes,£5.00-£7.49
Hole Park Gardens,South East,Kent,Ashford,Rural,TN17 4JA,Garden,12211,15233,8710,19851,15964,14282,Exact,"10,001 to 20,000",-11%,-6%,Yes,£10.00-£14.99
Kirby Hall,East Midlands,Northamptonshire,Northampton,Rural,,Historic House/ House and Garden / Palace,13748,15012,10251,17510,15500,15553,Exact,"10,001 to 20,000",0%,4%,Yes,£10.00-£14.99
The Ruskin Museum,North West,Cumbria,South Lakeland,Rural,LA21 8DU,Museum and/or Art Gallery,13909,15000,6840,9450,Not available,10713,Exact,"10,001 to 20,000",Not available,-29%,Yes,£7.50-£9.99
The New Ashgate Gallery,South East,Surrey,Waverley,Urban,GU9 7PS,Museum and/or Art Gallery,8901,14950,5761,7309,11440,11426,Exact,"10,001 to 20,000",0%,-24%,No,Not Applicable
Much Wenlock Priory,West Midlands,Shropshire,Much Wenlock,Rural,,Historic Monument / Archaeological Site,12764,14789,6959,13874,15836,15420,Exact,"10,001 to 20,000",-3%,4%,Yes,£7.50-£9.99
Coggeshall Grange Barn,East of England,Essex,Coggeshall,Rural,,Other Historic Property,14200,14601,1000,982,2228,1391,Exact,"10,000 or less",-38%,-90%,Yes,Not available
Farfield Mill,North West,Cumbria,South Lakeland,Rural,LA10 5LW,Museum and/or Art Gallery,16600,14541,Not available,24750,Not available,30857,Exact,"20,001-50,000",Not available,112%,No,Not Applicable
Cromer Museum,East of England,Norfolk,North Norfolk,Coastal,NR27 9HB,Museum and/or Art Gallery,14000,14500,Not available,5549,8739,10104,Exact,"10,001 to 20,000",16%,-30%,Yes,£3.00- £4.99
Wisbech & Fenland Museum,East of England,Cambridgeshire,Fenland,Urban,PE13 1ES,Museum and/or Art Gallery,14825,14485,Not available,Not available,5643,6797,Exact,"10,000 or less",20%,-53%,Yes,£5.00-£7.49
Sarehole Mill,West Midlands,West Midlands,Birmingham,Urban,,Other Historic Property,17909,14383,13229,17302,20462,22543,,"20,001-50,000",10%,57%,Yes,Not available
Lanercost Priory,North West,Cumbria,Carlisle,Rural,,Historic Monument / Archaeological Site,14731,14248,4939,10676,12515,11990,Exact,"10,001 to 20,000",-4%,-16%,Yes,£7.50-£9.99
Shaw's Corner,East of England,Hertfordshire,Welwyn,Rural,,Historic House/ House and Garden / Palace,13265,13977,735,3148,5176,6026,Exact,"10,000 or less",16%,-57%,Yes,Not available
Preston Manor,South East,East Sussex,Brighton,Urban,,Historic House/ House and Garden / Palace,14381,13945,2335,4551,5886,8125,Exact,"10,000 or less",38%,-42%,Yes,Not available
Yarmouth Castle,South East,Isle of Wight,Yarmouth,Coastal,,Castle / Fort,11902,13820,Closed,16891,21652,22550,Exact,"20,001-50,000",4%,63%,Yes,£7.50-£9.99
Cherryburn: Thomas Bewick Birthplace Museum,North East,Northumberland,Stocksfield,Urban,,Museum and/or Art Gallery,13218,13649,813,129,1945,1996,Exact,"10,000 or less",3%,-85%,Yes,Not available
Ashby de la Zouch Castle,East Midlands,Leicestershire,,Rural,,Castle / Fort,15360,13444,6566,11081,13106,13168,Exact,"10,001 to 20,000",0%,-2%,Yes,£7.50-£9.99
Butcher Row House Museum,West Midlands,Herefordshire,,Rural,HR8 1DW,Museum and/or Art Gallery,15564,13380,0,2417,9350,10547,Exact,"10,001 to 20,000",13%,-21%,No,Not Applicable
Pickering Castle,Y&H,North Yorkshire,Pickering,Rural,,Castle / Fort,13355,13242,8885,17297,20473,19475,Exact,"10,001 to 20,000",-5%,47%,Yes,£7.50-£9.99
The Stanley & Audrey Burton Gallery,Y&H,West Yorkshire,Leeds,Urban,LS2 9JT,Museum and/or Art Gallery,12620,13207,2481,1072,12241,20499,Exact,"20,001-50,000",67%,55%,No,Not Applicable
Whitstable Community Museum and Gallery,South East,Kent,Canterbury,Coastal,CT5 1DB,Museum and/or Art Gallery,11664,13061,5123,7984,13734,15416,Exact,"10,001 to 20,000",12%,18%,Yes,£3.00- £4.99
Okehampton Castle,South West,Devon,Okehampton,Rural,,Castle / Fort,12231,13050,5409,11885,13607,8580,Exact,"10,000 or less",-37%,-34%,Yes,£7.50-£9.99
East Pool Mine,South West,Cornwall,Redruth,Rural,,Other Historic Property,14376,13048,228,3182,4305,4551,Exact,"10,000 or less",6%,-65%,Yes,Not available
Sandham Memorial Chapel,South East,Hampshire,Newbury,Rural,,Place of Worship (still in use),12909,12959,582,2162,7397,7675,Exact,"10,000 or less",4%,-41%,Yes,Not available
North East Land Sea and Air Museum,North East,Tyne and Wear,Sunderland,Urban,SR5 3HZ,Museum and/or Art Gallery,11539,12732,3450,11750,12883,14860,Exact,"10,001 to 20,000",15%,17%,Yes,£5.00-£7.49
Mendips & 20 Forthlin Road [Beatles],North West,Merseyside,Liverpool,Urban,L18 9TN,Historic House/ House and Garden / Palace,14645,12682,555,2242,11719,12046,Exact,"10,001 to 20,000",3%,-5%,Yes,£15 or Over
Baytree Owl and Wildlife Centre,East Midlands,Lincolnshire,South Holland,Rural,PE12 6JU,Safari Park / Zoo / Aquarium / Aviary,11500,12500,Not available,8550,9660,11974,Exact,"10,001 to 20,000",24%,-4%,Yes,£5.00-£7.49
Rochdale Pioneers Museum,North West,Greater Manchester,Rochdale,Urban,M60 0AS,Museum and/or Art Gallery,10000,12500,900,1760,4180,4628,Exact,"10,000 or less",11%,-63%,No,Not Applicable
The Royal Green Jackets (Rifles) Museum,South East,Hampshire,Winchester,Urban,SO23 8TS,Museum and/or Art Gallery,12689,12386,3081,6840,10372,11425,Exact,"10,001 to 20,000",10%,-8%,Yes,£5.00-£7.49
Coleridge Cottage,South West,Somerset,Bridgwater,Rural,,Historic House/ House and Garden / Palace,13056,12313,360,1476,5342,6208,Exact,"10,000 or less",16%,-50%,Yes,Not available
Rousham House,South East,Oxfordshire,West Oxfordshire,Rural,OX25 4QX,Historic House/ House and Garden / Palace,12175,12180,7957,4900,15093,12505,Exact,"10,001 to 20,000",-17%,3%,Yes,£10.00-£14.99
Battle Museum of Local History,South East,East Sussex,Rother,Rural,TN33 0EA,Museum and/or Art Gallery,14000,12127,Not available,Not available,Not available,7540,Exact,"10,000 or less",Not available,-38%,No,Not Applicable
Hardwick Old Hall,East Midlands,Derbyshire,Chesterfield,Rural,,Historic House/ House and Garden / Palace,22791,11953,1161,Not available,0,Closed in 2023,Exact,Closed,Not available,Not available,Closed in 2023,Not Applicable
Museum of Classical Archaeology,East of England,Cambridgeshire,South Cambridgeshire,Urban,CB3 9DA,Museum and/or Art Gallery,14773,11923,4390,3721,9763,11921,Exact,"10,001 to 20,000",22%,0%,No,Not Applicable
Richborough Roman Fort,South East,Kent,Sandwich,Rural,,Castle / Fort,10583,11874,9454,11321,0,27772,Exact,"20,001-50,000",Not available,134%,Yes,£7.50-£9.99
Boscobel House & the Royal Oak,West Midlands,Staffordshire,Stafford,Rural,,Historic House/ House and Garden / Palace,11545,11873,Closed,21620,26314,24476,Exact,"20,001-50,000",-7%,106%,Yes,£10.00-£14.99
Peter Coke Shell Gallery,East of England,Norfolk,North Norfolk,Coastal,NR26 8JT,Museum and/or Art Gallery,14000,11800,Not available,Not available,17639,24607,Exact,"20,001-50,000",40%,109%,No,Not Applicable
The Brickworks Museum,South East,Hampshire,Fareham,Coastal,SO31 7GW,Museum and/or Art Gallery,10490,11700,1000,6000,10000,10500,Exact,"10,001 to 20,000",5%,-10%,Yes,£5.00-£7.49
Colne Valley Railway,East of England,Essex,Braintree,Rural,CO9 3DZ,Steam  / Heritage Railway,15888,11619,1849,5894,8584,8506,Exact,"10,000 or less",-1%,-27%,Yes,£10.00-£14.99
Shaftesbury Abbey Museum & Garden,South West,Dorset,North Dorset,Rural,SP7 8JR,Historic Monument / Archaeological Site,13016,11579,3920,23670,33068,35806,Exact,"20,001-50,000",8%,209%,No,Not Applicable
Cromwell Museum,East of England,Cambridgeshire,Huntingdonshire,Urban,PE29 3LF,Museum and/or Art Gallery,9103,11509,3781,6301,10421,12330,Exact,"10,001 to 20,000",18%,7%,No,Not Applicable
Ford Green Hall,West Midlands,Staffordshire,Stoke-on-Trent,Urban,ST6 1NG,Historic House/ House and Garden / Palace,10089,11381,1905,3762,8823,8400,Exact,"10,000 or less",-5%,-26%,Yes,£5.00-£7.49
Berwick-upon-Tweed Barracks & Main Guard,North East,Northumberland,Berwick-Upon-Tweed,Urban,,Castle / Fort,12129,11307,3193,9273,9516,12019,Exact,"10,001 to 20,000",26%,6%,Yes,£7.50-£9.99
Furness Abbey,North West,Cumbria,Barrow in Furness,Rural,LA13 0PJ,Historic Monument / Archaeological Site,11555,11248,7142,10672,11334,12053,Exact,"10,001 to 20,000",6%,7%,Yes,£7.50-£9.99
Lytham Heritage Centre,North West,Lancashire,Fylde,Coastal,FY8 5LE,Heritage / Visitor Centre,11954,10891,Not available,6067,12829,13497,Exact,"10,001 to 20,000",5%,24%,No,Not Applicable
Horses and Ponies Protection Association,North West,Lancashire,Burnley,Rural,BB10 3QU,Farm / Rare Breeds / Farm Animals,10800,10751,2522,7328,13791,14006,Exact,"10,001 to 20,000",2%,30%,Yes,Not available
Withernsea Lighthouse Museum,Y&H,East Riding of Yorkshire,Withernsea,Coastal,HU19 2DY,Museum and/or Art Gallery,10776,10614,Not available,10500,10750,10980,Exact,"10,001 to 20,000",2%,3%,Yes,£3.00- £4.99
Cold War Bunker,Y&H,North Yorkshire,York,Urban,,Other Historic Property,9729,10544,1019,Not available,7169,9970,Exact,"10,000 or less",39%,-5%,Yes,£10.00-£14.99
Woodbridge Tide Mill,East of England,Suffolk ,Suffolk Coastal,Coastal,IP12 1LN,Other Historic Property,9000,10500,912,4616,5787,5474,An Estimate,"10,000 or less",-5%,-48%,Yes,£5.00-£7.49
Ipswich Transport Museum,East of England,Suffolk ,Ipswich,Urban,IP3 9JD,Museum and/or Art Gallery,11220,10402,814,6186,9198,8893,Exact,"10,000 or less",-3%,-15%,Yes,£7.50-£9.99
Hoveton Hall Gardens,East of England,Norfolk,North Norfolk,Rural,NR12 8RJ,Garden,9146,10395,5044,10489,13356,10976,Exact,"10,001 to 20,000",-18%,6%,Yes,£7.50-£9.99
St Martin's Church,South East,Kent,Canterbury,Urban,CT1 1QJ,Place of Worship (still in use),11500,10387,455,2000,5990,11447,Exact,"10,001 to 20,000",91%,10%,No,Not Applicable
Soho House,West Midlands,West Midlands,Birmingham,Rural,,Historic House/ House and Garden / Palace,8553,10374,1966,3519,8457,5765,,"10,000 or less",-32%,-44%,Yes,Not available
Cleeve Abbey,South West,Somerset,Washford,Rural,,Historic Monument / Archaeological Site,10145,10298,3715,7358,7872,7708,Exact,"10,000 or less",-2%,-25%,Yes,£7.50-£9.99
Chysauster Ancient Village,South West,Cornwall,Penzance,Rural,,Historic Monument / Archaeological Site,11098,10297,Closed,2800,8016,8239,Exact,"10,000 or less",3%,-20%,Yes,£7.50-£9.99
Castle Bromwich Hall Gardens Trust,West Midlands,West Midlands,Solihull,Urban,B36 9BT,Garden,10000,10000,Not available,11383,13257,14262,An Estimate,"10,001 to 20,000",8%,43%,Yes,£5.00-£7.49
Galleon Marine,South East,Hampshire,Hart,Rural,RG29 1AL,Leisure / Theme Park,10000,10000,Not available,10000,7000,6800,An Estimate,"10,000 or less",-3%,-32%,No,Not Applicable
Grange Museum & Art Gallery,South East,East Sussex,Brighton and Hove,Coastal,BN2 7HA,Museum and/or Art Gallery,10000,10000,Not available,4185,11461,10757,Exact,"10,001 to 20,000",-6%,8%,No,Not Applicable
Threlkeld Quarry & Mining Museum,North West,Cumbria,Allerdale,Rural,CA12 4TT,Museum and/or Art Gallery,10000,10000,6000,8000,12600,12257,Exact,"10,001 to 20,000",-3%,23%,Yes,£7.50-£9.99
Chavenage House,South West,Gloucestershire,Cotswold,Rural,GL8 8XP,Historic House/ House and Garden / Palace,9628,9786,161,1455,4597,3419,Exact,"10,000 or less",-26%,-65%,Yes,£10.00-£14.99
Capesthorne Hall & Gardens,North West,Cheshire,Cheshire East,Rural,SK11 9JY,Historic House/ House and Garden / Palace,9668,9677,6114,5209,48506,46764,Exact,"20,001-50,000",-4%,383%,Yes,£10.00-£14.99
The Long Shop Museum,East of England,Suffolk ,Suffolk Coastal,Urban,IP16 4ES,Museum and/or Art Gallery,7865,9574,750,8000,8000,9400,Exact,"10,000 or less",18%,-2%,Yes,£5.00-£7.49
Canterbury Ghost Tour,South East,Kent,Canterbury,Urban,CT1 2TY,Other,8956,9367,70,1862,4789,3740,Exact,"10,000 or less",-22%,-60%,Yes,£15 or Over
Treasures of the Brotherton,Y&H,West Yorkshire,Leeds,Urban,LS2 9JT,Museum and/or Art Gallery,11255,9253,1854,824,7748,15901,Exact,"10,001 to 20,000",105%,72%,No,Not Applicable
RAF Air Defence Radar Museum,East of England,Norfolk,North Norfolk,Rural,NR12 8YB,Museum and/or Art Gallery,9581,9238,Not available,6197,6757,8289,An Estimate,"10,000 or less",23%,-10%,Yes,£10.00-£14.99
Bailiffgate Museum & Gallery,North East,Northumberland,,Rural,NE66 1LX,Museum and/or Art Gallery,9121,9169,2447,5500,5306,8228,Exact,"10,000 or less",55%,-10%,Yes,£5.00-£7.49
Orford Ness National Nature Reserve,East of England,Suffolk ,Woodbridge,Coastal,,Nature Reserve / Wetlands / Wildlife Trips,7954,9153,Closed,6637,10961,12571,Exact,"10,001 to 20,000",15%,37%,Yes,Not available
78 Derngate,East Midlands,Northamptonshire,Northampton,Urban,NN1 1UH,Historic House/ House and Garden / Palace,8104,9108,700,470,4500,6300,An Estimate,"10,000 or less",40%,-31%,Yes,£7.50-£9.99
Stott Park Bobbin Mill,North West,Cumbria,South Lakeland,Rural,,Other Historic Property,9048,8971,1596,5303,6269,6341,Exact,"10,000 or less",1%,-29%,Yes,£10.00-£14.99
Senhouse Roman Museum,North West,Cumbria,Allerdale,Coastal,CA15 6JD,Museum and/or Art Gallery,8022,8955,2338,5645,8046,8045,Exact,"10,000 or less",0%,-10%,Yes,£3.00- £4.99
Hailes Abbey,South West,Gloucestershire,Hailes,Rural,,Historic Monument / Archaeological Site,9782,8892,3143,8301,8932,9695,Exact,"10,000 or less",9%,9%,Yes,£7.50-£9.99
Whipple Museum of the History of Science,East of England,Cambridgeshire,Cambridge,Urban,CB2 3RH,Museum and/or Art Gallery,11018,8856,3102,2263,10936,15984,Exact,"10,001 to 20,000",46%,80%,No,Not Applicable
Woolbeding Gardens,South East,West Sussex,Midhurst,Rural,,Garden,8532,8608,Closed,3657,6748,7271,Exact,"10,000 or less",8%,-16%,Yes,Not available
Bakewell Old House Museum,East Midlands,Derbyshire,Derbyshire Dales,Urban,DE45 1DD,Museum and/or Art Gallery,7500,8432,525,6700,6700,6365,Exact,"10,000 or less",-5%,-25%,Yes,£5.00-£7.49
